Name,Description,Recipe,Ingredients,Nutrition Facts,Video Link
Mona-Lisa,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Stir ingredients and pour into a highball glass., | 1 Part(s): Vodka | 1 Part(s): Lemon Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Midas` Touch,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake with ice and strain into the glass., | 1 oz: Vodka | 1 oz: Watermelon Schnapps | 1 oz: Melon Liqueur,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Melon Kamikaze,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Mix sour mix. triple sec. and Vodka together with ice in a shaker and shake well. Strain into a cocktail glass over ice and add 1 oz of melon liqueur., | 1 oz: Vodka | 1 oz: Triple Sec | 1 oz: Melon Liqueur | 2 oz: Sours,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Aperitivo,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour gin. sambuca and bitters into a mixing glass half-filled with ice cubes. Stir well. Strain into a chilled cocktail glass. garnish with a twist of orange peel. and serve., | 2 1/4 oz: Gin | 3/4 oz: White Sambuca | 3 Dash(s): Orange Bitters,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
My Place or No Place,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the gin. creme de cassis and Rose`s lime juice into a parfait glass filled with shaven ice. Garnish with a slice of lime. and serve., | 3/4 oz: Gilbey | .5 oz: Blackcurrant Liqueur | .5:oz: Lime Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mcclelland Cocktail,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake all ingredients with ice. strain into a cocktail glass. and serve., | 1.5 oz: Gin | 3/4 oz: Triple Sec | 1 Dash(s): Orange Bitters,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Martian Hard On,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Layer in order., | 1 Part(s): Creme De Cacao | 1 Part(s): Melon Liqueur | 1 Part(s): Irish Cream,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Milpsi,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour milk into a highball glass. add the pepsi and drink before seperation occurs., | 1 Part(s): Milk,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Miami Meloni,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the white rum. melon liqueur and cream into a cocktail shaker half-filled with ice cubes. Shake well. strain into a cocktail glass. and serve., | 1 oz: White Rum | 1 oz: Melon Liqueur | 1 oz: Cream,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mom`s Breakfast,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Put ice into glass. Pour in amaretto. Pour in orange juice. Stir. Garnish with orange slice or wedge., | 1 oz: Almond Liqueur | 5 oz: Orange Juice | 4: Ice Cubes,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
The Miki,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the campari into a highball glass with ice. Add the grapefruit juice. then the soda. Stir once., | 1 Part(s): Bitters | 1 Part(s): Soda Water | 1 Part(s): Grapefruit Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Malibu Orange Colada Punch,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Mix all ingredients in a punch bowl. Add ice before serving., | 2 qt: Coconut Rum | .5 qt: Triple Sec | 1 qt: Pina Colada Mix,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Morgan`s Mountain,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",In a shaker half-filled with ice cubes. combine the rum. creme de cacao. and cream. Shake well. and strain into a cocktail glass. Drop the kahlua into the center of the drink., | 1.5 oz: White Rum | .5 oz: White Creme De Cacao | 1 oz: Cream | 1 tsp: Coffee Liqueur,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Melonade 2,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the Vodka into a highball glass filled with ice. Add the lemonade. and top with grenadine. Garnish with a lemon or a cherry. and serve., | 1 oz: Melon Vodka | 5 oz: Lemonade | .5:oz: Grenadine Syrup,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Aperol Sour,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake well over ice in a shaker. Strain into a sour glass. and serve., | 1 3/4 oz: Aperol | 3/4 oz: Lemon Juice | 1/4 oz: Sugar Syrup | 1 Dash(s): Orange Bitters,Calories: 143kcal | Carbohydrates: 7g | Protein: 1g | Fat: 1g | Saturated Fat: 1g | Sodium: 5mg | Sugar: 6g | Vitamin C: 8mg | Iron: 1mg,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Monkey Wrench,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well., | 1.5 oz: White Rum | 3 oz: Grapefruit Juice | 1 Dash(s): Bitters,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mint Vacation Treat,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Blend ingredients in a bar blender until smooth., | 3 oz: Coconut Rum | 4: Ice Cubes | 4 Scoop(s): Ice Cream,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mexican Mountie,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour each part into an old-fashioned glass over ice. Top with a wedge of lime., | 1 Part(s): Tequila | 1 Part(s): Canadian Whisky,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mint Highball,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour both ingredients into a highball glass filled with ice cubes. Garnish with a twist of lemon peel. and serve., | 2 oz: Green Creme De Menthe | 4 oz: Ginger Ale,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mexican Iceberg,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Mix tequila and yukon jack together with ice cubes in a large tumbler glass. Add triple sec and lime juice (to taste). Garnish with a slice of lime. and serve., | 1.5 oz: Gold Tequila | 1.5 oz: Canadian Whisky | .5:oz: Triple Sec | 1 Splash(s): Lime Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mexican Roots,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour tequila and creme de menthe into a mixing glass half-filled with ice cubes. Stir well. strain into a cocktail glass. and serve., | 2 oz: White Tequila | .5 oz: Green Creme De Menthe,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mountain Sunrise,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake and serve over crushed ice., | 1.5 oz: Gold Tequila | .5 oz: Lime Juice | 1 Splash(s): Grenadine Syrup | 3 oz: Citrus Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mexican Chocolate,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake and strain into a wine goblet filled with crushed ice. Garnish with a mint sprig. and serve with short straws., | 1.5 oz: Gold Tequila | 1 oz: Coffee Liqueur | 4 oz: Cocoa Powder,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Margarita Cocktail 3,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Use a large metal container with plenty of ice and a strainer. Shake ingredients well. and pour them through a strainer into a margarita glass. Serve with salt and fresh lime., | 1 oz: Gold Tequila | 1.5 Part(s): Sours | 1 - 2 tbsp: Lime Juice | .5 oz: Triple Sec,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Maui Breeze,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine all ingredients in a blender with one cup of crushed ice. Blend until smooth and pour into a parfait glass. Garnish with a pineapple spear. a cherry and an orchid. and serve., | .5 oz: Brandy | .5 oz: Triple Sec | .5:oz: Almond Liqueur | 1 oz: Sours | 2 oz: Orange Juice | 1 oz: Guava Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Apple Jolly Rancher,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Chill in tumbler. shake. Serve up in rocks glass., | 1 oz: Apple Schnapps | 1 oz: Vodka | 11 Spalsh(s): Sours | 1 Splash(s): Lemonade,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Maple`s Antigel,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Boil water. Add gin. pure Maple Syrup and boiling water to a coffee mug., | 1 oz: Gin | 4 oz: Hot Water | 1 oz: Maple Syrup,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Manila Fizz,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake with ice. strain into a highball glass over two ice cubes. and serve., | 2 oz: Gin | 2 oz: Root Beer | .5 Juice of: Lemon | 1: Egg | 1 tsp: Superfine Sugar,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Melberry,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour midori. chambord and raspberry juice into a shaker. Add a squeeze of lemon and lime juice. Shake. and strain into a highball glass half-filled with ice. Garnish with fresh raspberries., | 1.5 oz: Melon Liqueur | 1 oz: Raspberry Liqueur | 4 oz: Raspberry Juice |: Lemon Juice |: Lime Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Melon Colada,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Blend briefly with a glassful of crushed ice. Serve in a pina colada glass with a slice of pineapple. cherry and straws., | 1 1/4 oz: White Rum | 1 1/4 oz: Melon Liqueur | 1 1/3 oz: Coconut Cream | 3 oz: Apple Juice | 1 tsp: Whipping Cream,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Monsters Ball,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Mix rum and Dr. Pepper in large glasses and add Monster Energy Drink to taste., | 5 oz: Spiced Rum | 6 oz: Pepper Soda | 5 oz: Energy Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mexican Mudslide,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine the kahlua. amaretto. and ice-cream in a glass. Swirl chocolate into the glass and add whipped cream on top., | 1 oz: Coffee Liqueur | 1 oz: Almond Liqueur | 5 oz: Ice Cream | 1.5 oz: Whipped Cream |: Chocolate Sauce | 1: Cherry,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Moi?,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the vermouth. gin. creme de cassis and lemon juice into a cocktail shaker half-filled with ice cubes. and shake well. Strain into a collins glass almost filled with ice cubes. and top with tonic water. Stir well. garnish with a lemon wedge. and serv, | 2 oz: Dry Vermouth | .5 oz: Gin | 2 tsp: Blackcurrant Liqueur | 1 oz: Lemon Juice | 4 oz: Tonic Water,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mardi Gras Flasher,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Stir ingredients together in a highball glass with/without ice. Add more grenadine if desired. stir again and serve., | 2 oz: Dark Rum | 6 oz: Ginger Ale | 1 tsp: Grenadine Syrup,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Monster Mash,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Mix everything in a large beer glass and enjoy!, | 1 oz: Gold Rum | 1 oz: Lemon Schnapps | 2 oz: Vodka | 12 oz: Energy Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mikey`s Breakfast Banger,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the ingredients over ice. allow it to chill for a moment and then strain into a red wine glass. Garnish with an orange and serve., | 2: Club Soda | 2: Orange Juice | 2: Almond Liqueur,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Americano,"The Americano, an Italian classic, was first served in Gaspare Campari's bar, Caffè Campari, in the 1860s.",Combine all ingredients in a rocks glassAdd ice.Garnish with orange wedge and enjoy., | 1 oz: Campari | 1 oz: Sweet Vermouth | 2 oz: Soda Water,Calories: 98kcal | Carbohydrates: 9g | Protein: 1g | Sodium: 12mg | Potassium: 1mg | Calcium: 3mg | Iron: 1mg,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Apple Judy,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake well with cracked ice. Serve without garnish in a cocktail glass., | .5 oz: Orange Liqueur | .5 oz: Vodka | 3 oz: Apple Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mocha Nut,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Add everything to a hot mug of coffee. splashing the cream on top., | .5 oz: White Creme De Cacao | 1.5 oz: Hazelnut Liqueur | 4 oz: Coffee | 1 oz: Cream,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Monk Cocktail,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine the Bailey`s irish cream. Frangelico hazelnut liqueur and vanilla ice cream in a blender. Blend until smooth. Pour into a cocktail glass. add a straw and serve., | 2 oz: Irish Cream | 1 oz: Hazelnut Liqueur | 2 Scoop(s): Ice Cream,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mint Chip Ice Cream,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour all ingredients over crushed ice and serve with a cocktail sipping straw., | 1 oz: Dark Creme De Cacao | 1 oz: Green Creme De Menthe | 2.5 oz: Cream,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mistea,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Stir ingredients together in a glass mug. Garnish with a lemon wedge. and serve., | 1.5 oz: Canadian Whisky | 7 oz: Tea - Hot | 1 tsp: Honey,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mulled Port,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Peel and slice the oranges. and place the peel in a large nonreactive saucepan. Add cloves. mace. nutmeg. allspice. cinnamon stick. sugar and 2 cups of water. Set over a medium-high heat and stir frequently to dissolve the sugar. Allow the reach the boil, | 750 mL: Red Port | 1/4 Cups(s): Sugar | 2: Orange(s) | .5 tsp: Allspice | .5 tsp: Mace | .5 tsp: Nutmeg | 12: Cloves | 1: Cinnamon Sugar,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mandy Sea,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Blend the amaretto. triple sec. sour mix and juices in a mixing cup. Pour over ice in a collins glass and top with grenadine and a splash of 7-up. Garnish with a flag or two cherries., | 1.5 oz: Almond Liqueur | .5 oz: Triple Sec | 1 oz: Sours | 1 oz: Orange Juice | 1 oz: Apple Juice | 1/4 oz: Grenadine Syrup | 1/4 oz: Lemonade,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mile Highball,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour into a highball glass three-quarters filled with ice. Add lemon twist and serve., | 2 oz: Melon Liqueur | 1 tsp tsp: Cherry Brandy | 5 oz: Lemon Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Martini Bovine,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Place Martini and Rossi vermouth and white wine into a beer mug. Mix the two together. add Vodka and top off with Strongbow. Serve., | 400 mL: Dry Vermouth | .5 Pint(s): Cider Beer | 50 mL: Vodka | 1 Glass(s): White Wine,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mexicola,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour tequila and juice of lime over ice cubes in a collins glass. Fill with cola. stir. and serve., | 2 oz: Tequila | .5 Juice of: Lime |: Cola,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Meister Mind Meld,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the coca-cola into a highball glass. Add the amaretto. and drop in an ice cube., | 3 Part(s): Cola | 1 Part(s): Almond Liqueur,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Apple Cider Surprise,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",First pour in the ginger ale. then pour in the Juice - Apple Juice. then pour in the Vodka. Give it a good stir or shake (which ever you prefer)., | 4 Splash(s): Vodka | 4 oz: Apple Juice | 4 oz: Ginger Ale,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mexican Riptide,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Stir ingredients together in a collins glass filled with ice cubes. and serve., | 1 oz: Coconut Rum | 1 oz: Coffee Liqueur | 6 oz: Cola,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Makers Mark Punch,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Mix all ingredients in a pitcher. serve over ice in a highball glass., | 6 Can(s): Bitter Beer | 1 Pint(s): Bourbon Whiskey | 12 oz: Lemonade,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mangotini,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the Vodka. Cointreau and Snapple mango madness into a cocktail shaker half-filled with cracked or cubed ice. Shake well. strain into a cocktail glass. and serve., | 1.5 oz: Vodka | .5 oz: Orange Liqueur | 2 oz: Mango Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mistral,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine all ingredients in a blender. Pour into a champagne saucer. and serve., | 1 oz: Raspberry Liqueur | 2 oz: Dry White Wine | 1 oz: Strawberries | 3 tbsp: Crushed Ice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mexican Strawberry,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake and strain into a double-cocktail glass filled with crushed ice. Garnish with a sugar-dipped strawberry., | 2 oz: Gold Tequila | 1 oz: Orange Juice | 1 oz: Strawberry Puree | 1/4 oz: Strawberry Syrup | 1/4 oz: Lemon Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
More Sunshine,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Stir the gin and creme de cassis together in a highball glass filled with ice cubes. Fill with orange juice. stir again and serve., | 2/3 oz: Gin | 2/3 oz: Blackcurrant Liqueur | 5 oz: Orange Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mr. Jones Pucker,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Get a cup that fits the ingredients and then add the DeKuyper Sour Apple Pucker schnapps. Add a can or bottle of Jones Soda Co. Green Apple Soda. stir. and add ice. Serve., | 2 oz: Apple Schnapps | 12 oz: Apple Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Missouri Jackass,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine ingredients in a pitcher and stir well. Makes about 4 drinks., | 12: Bitter Beer | 6 oz: White Rum | 6 oz: Lemonade,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Marvin The Martian,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the cherry-flavored brandy into a collins glass half-filled with ice. Add the Mountain Dew. and serve., | 1 oz: Cherry Brandy | 8 oz: Citrus Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Melzinho,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine ingredients in a cocktail shaker and shake. Pour into a pousse cafe glass with ice., | 50 mL: Honey | 90 mL: Cachaca,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Apple Coconut Sour,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Add all ingredients to a cocktail shaker with cracked ice. Shake and pour into an old fashioned glass over cracked ice and serve., | 1 oz: Apple Vodka | 1 oz: Coconut Rum | 3 oz: Sours,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mendolsohn,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the Malibu mango rum into an old-fashioned glass 3/4 filled with ice cubes. Add the Coca-cola. then top it off with Smirnoff Triple Black. and serve., | 3 oz: Mango Rum | 2 oz: Cola | 3 oz: Smirnoff Ice Triple Black,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Maria on the Beach,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Add the ice to a blender. Add rum. Kahlua. Bailey`s. and pina colada mix. Blend until smooth. Serve in a Margarita glass rimmed with sugar., | 1 oz: White Rum | 1 oz: Coffee Liqueur | 1 oz: Irish Cream | 2 oz: Pina Colada Mix | 1 Cup(s): Ice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Michealado,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour desired amount of tequila into mug or glass. Add the juice of one lime. Fill the rest of the glass with beer (preferably corona or dos equis). Add the hot-sauce of your preference. and a dash of chili powder. Stir the contents of the drink and add i, | 2 - 3 oz: Tequila | 12 oz: Larger Beer | 1.5 oz: Lime Juice | 5-6 Drop(s): Hot Pepper Sauce | 1 Pinch(s): Chili Powder,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Montezuma`s Revenge,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Drop a shot glass filled with the Jose Cuervo tequila into a regular beer. and serve., | 12 oz: Larger Beer | 1 oz: Gold Tequila,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Moxitizer,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Add the shots to a collins glass filled with ice cubes. Fill with Moxie energy drink. and serve., | .5 oz: Cinnamon Schnapps | .5 oz: Herbal Liqueur | 8 oz: Energy Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
The Mad Hungarian,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Serve on the rocks., | 2 oz: Coconut Rum |: Root Beer,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mr. Gerbik,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Stir the gin together with the Dr. Pepper in a highball glass. Carefully layer the Bacardi 151 rum on top. ignite and serve., | 2 oz: Gin | 6 - 8 oz: Pepper Soda | 1/4 oz: OP Rum,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Mayan Wh*re,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the tequila into a cocktail glass. Add the Juice - PineJuice - Apple Juice. top with soda and float the grenadine on top. Serve unstirred. with a straw., | 3/4 oz: Tequila | .5 oz: Coffee Liqueur | .5 oz: Soda Water | 1 tsp: Grenadine Syrup,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
